study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	1.0779107725788903e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	25.213				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	2.87442872687704e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	29.416				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	3.952121871599565e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	37.789				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	5.389336235038085e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	41.988				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	6.826550598476605e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	52.456				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	8.982372143634386e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	69.202				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	9.341675734494015e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	79.654				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00011856583242655061	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	83.868				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00012934494015233948	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	102.689				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00012934494015233948	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	98.51				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0001365310119695321	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	85.982				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0001509031556039173	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	69.285				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00020120348204570186	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	88.16				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00016168008705114256	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	98.554				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00016886615886833515	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	115.28				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00018323830250272034	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	121.569				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00019401741022850925	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	127.852				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00020479651795429817	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	136.225				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0001401240478781284	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	173.748				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0002766550598476605	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	130.055				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0002946180631120784	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	138.438				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0002910250272034821	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	173.955				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00030899020674646357	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	165.622				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0002910250272034821	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	213.657				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.000370069640914037	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	161.526				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00039522089227421117	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	178.277				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0003377344940152339	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	197.004				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0003592905331882481	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	220.019				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00038084874863982595	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	220.049				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00038084874863982595	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	243.034				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00039522089227421117	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	251.412				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00036288356909684445	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	268.084				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00038084874863982595	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	278.556				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.00039162785636561484	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	295.287				ng/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female1_apixaban_vs_Anti-factor Xa activity	0.0004167769314472252	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female1_Anti-factor Xa activity_vs_apixaban	318.307				ng/ml	
