study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	9.914708718251057e-07	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.0133624184394425				IU/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	1.1897650461901457e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.0268368016678892				IU/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	1.4872063077376866e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.0810509246747228				IU/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	1.982941743650246e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.203046214431874				IU/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	2.032515287241504e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.118296590865217				IU/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	2.08208883083276e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.0335469672985597				IU/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	2.2803830051977803e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.114887456082777				IU/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	2.3299565487890318e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.0911547816686617				IU/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	2.3299565487890318e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.169120883363577				IU/ml	
Frost2015		young_female	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	young_female_apixaban_vs_Anti-factor Xa activity	2.825691984701589e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	young_female_Anti-factor Xa activity_vs_apixaban	0.19620091888344				IU/ml	
