study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	3.7292411127522528e-06	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	43.3216955951099				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	1.4916964451009055e-05	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	68.173858223592				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	1.6781585007385224e-05	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	51.2315479789414				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	2.6104687789265943e-05	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	53.1163822978573				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	4.102165224027487e-05	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	59.8971774490864				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	5.03447550221556e-05	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	83.2428551414962				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	5.966785780403634e-05	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	52.7481713881229				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	6.15324783604124e-05	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	65.9263430711832				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	6.899096058591687e-05	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	44.8438490805327				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	8.950178670605441e-05	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	90.4061472327499				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00011747109505169641	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	109.991373081063				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00012120033616444875	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	85.5194031941721				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00012306495672082503	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	89.6614302989191				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00012865881838995343	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	70.0844995649673				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.0001305234389463295	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	64.8138760673047				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00014357578284096236	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	106.232764595714				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00016595122951747616	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	89.6720296117149				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00021070212287050338	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	89.6830897641976				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00021256674342687943	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	132.605237350872				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00022748370787788682	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	120.937237321378				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.00023867143121614366	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	100.608677058294				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.0002479945339980261	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	136.379053545884				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.0002517237751107769	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	118.307686068632				sec	
Frost2015		elderly_male	1.0	API_20	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	elderly_male_apixaban_vs_mPT	0.0002647761190054102	mole/meter^3	mPT	plasma	coagulation assay	elderly_male_mPT_vs_apixaban	91.9554902596924				sec	
