study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_unit	comments
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.0003344237867247008	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	2.58281	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00032631273122959737	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	2.35639	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.0003217415451577802	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	2.29769	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.0002805602176278564	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	2.08805	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.0002281514254624592	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	2.15514	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00021949749727965179	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	2.19706	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00023232480957562567	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.34172	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00023535590859630033	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.50943	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00022619538628944506	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.53459	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.0002144900979325354	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.56813	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.000207888204570185	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.47589	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00019771125136017412	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.49266	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.0001962031556039173	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.3501	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.0001717974972796518	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.24109	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00016113527747551684	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.07338	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00014840609357997825	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.15723	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00014433510337323176	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.16562	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00014129758433079436	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.04822	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.0001275498585418934	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	1.14046	IU/ml	
Frost2021a	healthy	1.0	API5	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_healthy	0.00013113451577801961	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_healthy	0.95597	IU/ml	
