study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_unit	comments
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0006994012404787813	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	4.42968	IU/ml	
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0006853757997823722	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	4.62134	IU/ml	
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0006676102720348205	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	4.67581	IU/ml	
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0006657402176278563	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	4.5021	IU/ml	
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0006348842655059848	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	4.52887	IU/ml	
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0006274040478781285	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	3.92542	IU/ml	
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0005871978237214364	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	4.3542	IU/ml	
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0005329661806311208	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	3.60351	IU/ml	
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0005273560174102285	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	3.76793	IU/ml	
Chang2016	mild	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_mild	0.0004936949945593037	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_mild	3.33761	IU/ml	
