study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_unit	comments
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0007461526441784549	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	4.78715	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0007040763656147988	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	4.13727	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0006965961479869424	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	4.28337	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0006395594124047878	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	4.28217	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0006330142110990206	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	4.02609	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0006143136452665942	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	4.12625	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0005871978237214364	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	3.9063	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0005694322959738846	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	3.75053	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0005497966920565833	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	3.96036	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0005423164526659413	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	4.21614	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0005039803046789989	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	3.00876	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.000496500065288357	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	2.99946	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0004740593906420021	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	3.37376	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00046564413492927097	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	3.11764	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00045255373231773674	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	3.13565	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0004086073993471164	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	2.85136	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0004263729488574538	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	2.91572	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00039551699673558214	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	2.77796	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00035250570184983685	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	2.45713	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00033380513601741023	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	2.33791	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00030668931447225246	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	2.04483	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0003020141675734494	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	2.15442	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0003020141675734494	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	1.68824	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00026741812840043526	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	1.92518	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0002365621762785637	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	1.38522	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00022627686615886837	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	1.50384	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00021599155603917302	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	1.57675	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00021412150163220892	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	1.50358	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.0002057062459194777	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	1.35715	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00017485031556039175	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	1.30166	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00014399436343852013	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	0.89882	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.00014212430903155608	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	0.93534	IU/ml	
Chang2016	moderate	1.0	API10	NR	NR	concentration	apixaban	plasma	HPLC MS/MS	apixaban_vs_xa_moderate	0.000137449162132753	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	xa_vs_apixaban_moderate	1.05407	IU/ml	
